Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Shinzon (Chain of Command)	Virtual_OTF_Open_Warp	8-V_shinzon	coc	8 V	Nem		Personnel		Romulan	V.I.P.	1	7	6					<Fed><G)[Cmd]		Human; General; Infiltrator; Male; Praetor;		<Jean-Luc Picard>		Human clone of Jean-Luc Picard. General of a Reman Army. Possibly the worst Praetor in the history of the Romulan Star Empire.	Office of the Proconsul		V.I.P. Leadership Treachery x 2 Diplomacy ENGINEER {Any Jean-Luc Picard} gains (G>.
Jean-Luc Picard (Chain of Command)	Virtual_OTF_Open_Warp	4V_Jean-LucPicard	coc	4 V	TNG		Personnel		Federation	OFFICER	8	8	7					[Cmd][Com][Def][Nav]		Borg/Human; Counterpart; Male; U.S.S. Enterprise-related personnel;		Jean-Luc Picard	U.S.S. Enterprise	Rescued Borg counterpart. After returning to his command of the U.S.S. Enterprise, Picard developed a violent vendetta against the Borg.			OFFICER Leadership x 2 Archaeology Navigation While on your ship, WEAPONS and SHIELDS +4 against [Bor].
Cardassian Processing	Virtual_b00_OTF_Open_Warp	HMF2_1	HF2	1 V	DS9		Dilemma	[S/P]												Capturing-related card;				Whether preparing captives for interrogation, trial, torture, incarceration, punishment, or other purposes, Cardassian methods are well-established.			Unless Diplomacy, Honor, Transporter Skill, and CUNNING>30 OR Law, SECURITY, and STRENGTH>40, one personnel is captured (random selection).
U.S.S. Defiant (Chain of Command)	Virtual_OTF_Open_Warp	10-V_ussdefiant	coc	10 V	FC		Ship		Federation	Defiant Class	8	10	8						[Cmd][Cmd] 	Cloaking Device; Federation ship; Tractor Beam;	Shuttlepod;	U.S.S. Defiant	Worf	Riker dubbed the U.S.S. Defiant a "tough little ship." Commanded by Worf when the Borg attacked Earth.			Cloaking Device, Tractor Beam WEAPONS and SHIELDS +3 vs. [Bor].
Your Place is on the Bridge	Virtual_b01_OTF_Open_Warp	TSTL_19	tstl	19 V	Gen		Interrupt																	In times of crisis, a captain needs to be able to coordinate crew activities. James T. Kirk reminded John Harriman of this during the maiden voyage of the U.S.S. Enterprise-B.			Plays on your damaged ship OR your ship just targeted in a battle you did not initiate. Download its matching commander aboard. Discard interrupt.
Scimitar (Chain of Command)	Virtual_OTF_Open_Warp	15-V_scimitar	coc	15 V	Nem		Ship		Romulan	Scimitar Class	9	13	12						[Cmd][Cmd][Cmd] 	Cloaking Device; Romulan ship; Tractor Beam;			Shinzon	Massive predator of a ship commanded by Shinzon. Its brief contact with the U.S.S. Enterprise-E would leave a lasting impression.			Cloaking Device, Tractor Beam DL/ Any Tactic DL/ {Engage Cloak}
Aluura*	Trad_Virtual_OTF_Open_Warp	14V-Aluura	IC	14 V	DS9		Personnel		Ferengi/Non-Aligned	CIVILIAN	8	6	2							Humanoid; Dabo Girl; Female;	Dabo Girl; Waiter;	Aluura		Humanoid dabo girl. In three months she didn't spill a drink, mix up a food order or short-change a bill. Actually liked by other dabo girls - and even the Ferengi waiters.	Tower of Commerce, War Council		CIVILIAN Your other dabo girls and Ferengi waiters here are attributes all +2. Youth Honor Diplomacy
Data and Picard*	Trad_Virtual_OTF_Open_Warp	8V-Data-and-Picard	IC	8 V	TNG		Personnel		Federation/Romulan	CIVILIAN+CIVILIAN	8+8	12+8	12+6					[Stf][Stf]		Android/Human/Romulan; Captain; Dual-personnel; Male; Soong-type android;		;Data;Jean-Luc Picard;		To search for Spock on Romulus, the Soong-type android Data and his human captain, Jean-Luc Picard, disguised themselves as Romulan citizens.			CIVILIAN+CIVILIAN Data: ENGINEER Astrophysics Computer Skill Picard: Diplomacy Anthropology Archaeology
Rom*	Trad_Virtual_OTF_Open_Warp	4V-Rom	IC	4 V	DS9		Personnel		Bajoran/Ferengi	ENGINEER	7	X	3					[Stf]		Ferengi; Deep Space 9-related personnel; Male;		Rom		Brilliant yet befuddled Ferengi engineer. Works for the Bajorans aboard Deep Space 9. Quark's brother. Nog's father. Gaila's cousin. Has a crush on Leeta.		Quark;Nog;Gaila;Leeta	ENGINEER ENGINEER Astrophysics Honor Navigation Physics X=4 or 9.
Jake and Nog*	Trad_Virtual_OTF_Open_Warp	15V-Jake-and-Nog	IC	15 V	DS9		Personnel		Ferengi/Federation	CIVILIAN+CIVILIAN	6+4	5+7	4+4							Ferengi/Human; Dual-personnel; Male;		;Jake Sisko;Nog;		Jake Sisko and Nog are best friends. Loiterers. Frequently chased away from "their spot" by Odo. Briefly owned 100 gross of self-sealing stem bolts.	Tower of Commerce	Odo	CIVILIAN+CIVILIAN Jake: Youth Biology ENGINEER Nog: Youth Acquisition ENGINEER
Kasidy Yates*	Trad_Virtual_OTF_Open_Warp	2V-Kasidy-Yates	IC	2 V	DS9		Personnel		Bajoran/Non-Aligned	CIVILIAN	7	6	4					[Cmd][Maq]		Human; Captain; Female;		Kasidy Yates		Freighter captain for Bajoran Ministry of Commerce. Smuggled weapons for the Maquis in 2372. Loves baseball. Romantically involved with Benjamin Sisko.	War Council	Benjamin Sisko	CIVILIAN Navigation x 2 Smuggling Transporter Skill May add 2 card draws to "{cargo runs}" she completes.
Kira*	Trad_Virtual_OTF_Open_Warp	3V-KiraA	IC	3 V	DS9		Personnel		Bajoran/Cardassian/Federation	OFFICER	7	7	8+X					[Cmd]		Bajoran; Cardassian resistance; Female;		Kira Nerys		Ironically, Kira Nerys trained Legate Damar's freedom fighters in Resistance tactics. The Bajoran accepted a Starfleet commission to help ease the racial tensions.			OFFICER Leadership Resistance SECURITY Navigation Honor x 2 X=3 vs. [Dom].
Koval*	Trad_Virtual_OTF_Open_Warp	9V-Koval	IC	9 V	DS9		Personnel		Federation/Romulan	V.I.P.	3	9	6					[Cmd]		Romulan; Chairman; Male;		Koval		Chairman of the Tal Shiar. Seeks appointment to the Continuing Committee. Suffers from Tuvan Syndrome. Conspired with Sloan to bring down Senator Cretak.	Continuing Committee		V.I.P. SECURITY Treachery Tal Shiar (when [Rom]). x 2 Exobiology Your Tal Shiar may report here.
Leeta*	Trad_Virtual_OTF_Open_Warp	16V-Leeta	IC	16 V	DS9		Personnel		Ferengi/Bajoran	CIVILIAN	7	6	4							Bajoran; Dabo Girl; Female;		Leeta		Bajoran dabo girl. Formed the Guild of Restaurant and Casino Employees with Rom. Amateur sociologist. Was formally separated from Julian Bashir on Risa in 2373.	Tower Of Commerce	Rom;Julian Bashir	CIVILIAN Anthropology Youth Computer Skill Leadership Music DL/ {Dabo} OR {Kukalaka}
Major Rakal*	Trad_Virtual_OTF_Open_Warp	10V-Major-Rakal	IC	10 V	TNG		Personnel		Federation/Romulan	V.I.P.	4	8	4					[AU][Cmd]		Betazoid/Human; Female;		Deanna Troi		Physically altered, the half-Betazoid, half-human Deanna Troi was coerced to assume the identity of a Tal Shiar major in the 2369 M'ret defection plot.	Continuing Committee		V.I.P. Romulan: Tal Shiar, Empathy, Treachery Federation: Empathy, Diplomacy, INTEGRITY +4, CUNNING -1
Mardah*	Trad_Virtual_OTF_Open_Warp	17V-Mardah	IC	17 V	DS9		Personnel		Ferengi/Bajoran	CIVILIAN	7	6	3							Bajoran; Dabo Girl; Female;		Mardah		Bajoran entomology student. Dabo girl. Orphaned by Cardassians. Romantically involved with Jake Sisko. Accepted to the science academy on Regulus III.		Jake Sisko Jake Sisko	CIVILIAN Youth Biology SCIENCE
Nog*	Trad_Virtual_OTF_Open_Warp	18V-Nog	IC	18 V	DS9		Personnel		Ferengi/Federation	ENGINEER	8	8	6					[Stf]		Ferengi; Male;	Defiant Class;	Nog		Dedicated, hardworking ensign. The first Ferengi in Starfleet. Friend of Jake. Briefly served as chief engineer of U.S.S. Valiant under Captain Watters.		Jake;Captain Watters	ENGINEER Physics Honor Youth Acquisition ENGINEER (if aboard your Defiant-class or [Fer] ship).
Overseer Odo*	Trad_Virtual_OTF_Open_Warp	7V-Overseer-Odo	IC	7 V	DS9		Personnel		Cardassian/Bajoran	OFFICER	5	7	10					[Cmd][KCA][MU]		Changeling; Male; Shape-shifter; Terok Nor-related personnel;		(Odo)		The mirror version of Odo supervises ore processing on Terok Nor. Has strict rules of obedience. The only changeling his contemporaries have ever seen.			OFFICER SECURITY Leadership Geology Computer Skill DL/ {Process Ore}
Prot*	Trad_Virtual_OTF_Open_Warp	19V-Prot	IC	19 V	TNG		Personnel		Ferengi/Federation	OFFICER	6	6	5					[AU][Bar][Stf]		Ferengi; Male;		Prot		Ferengi ensign who manned the conn station in Barash's illusion. Riker thought him one of the few elements of the simulation he could get used to.		Barash;Riker	OFFICER Youth Archaeology Navigation Geology
Quark Son of Keldar*	Trad_Virtual_OTF_Open_Warp	20V-Quark-Son-of-Keldar	IC	20 V	DS9		Personnel		Ferengi/Klingon	CIVILIAN	5	7	4					[Stf]		Ferengi; Male;		Quark		Quark wedded Grilka by brek'tal ritual to head the House of Kazak (as the House of Quark) on Qo'noS. The Ferengi saved his be'nal from financial ruin.	Tower of Commerce	Grilka	CIVILIAN Leadership Computer Skill x 2 Honor Greed Attributes all +3 if with {Grilka}.
The Emissary*	Trad_Virtual_OTF_Open_Warp	12V-The-Emissary	IC	12 V	DS9		Personnel		Federation/Bajoran	V.I.P.	7	8	6					[Cmd][Orb]		Human; Male;	Bajoran;	Benjamin Sisko		Benjamin Sisko discovered the Celestial Temple in 2369. Reluctantly accepts Bajoran reverence.			V.I.P. All other Bajorans in play are INTEGRITY +2. Your Bajorans may report for duty where present. Diplomacy DL/ {Bajoran Wormhole}
The Trois*	Trad_Virtual_OTF_Open_Warp	13V-The-Trois	IC	13 V	TNG		Personnel		Federation/Ferengi	V.I.P.+CIVILIAN	6+7	7+6	3+4							Betazoid/Human; Capturing-related card; Dual-personnel; Female;		;Lwaxana Troi;Deanna Troi;		Tog abducted Lwaxana Troi and her half-human daughter Deanna Troi. After beaming the pair out of their clothes, he planned to exploit their Betazoid skills.	Tower of Commerce	Tog	V.I.P.+CIVILIAN Lwaxana: Empathy x 2 Diplomacy DL/ {Wolf} Deanna: Diplomacy Empathy DL/ {Plexing}
Tora Ziyal*	Trad_Virtual_OTF_Open_Warp	5V-Tora-Ziyal	IC	5 V	DS9		Personnel		Bajoran/Cardassian	CIVILIAN	8	6	5							Cardassian/Bajoran; Female;		Tora Ziyal		Half-Bajoran daughter of Tora Naprem and Dukat. Survived crash of the Ravinok on Dozaria. Rescued in 2372. Talented artist. Fond of Elim Garak.			CIVILIAN Youth May seed under {Dozaria}. Geology {Dukat} is INTEGRITY +3 if present.
Kira**	Trad_Virtual_OTF_Open_Warp	3V-KiraB	IC	3 V	DS9		Personnel		Federation/Bajoran/Cardassian	OFFICER	7	7	8+X					[Cmd]		Bajoran; Cardassian resistance; Female;		Kira Nerys		Ironically, Kira Nerys trained Legate Damar's freedom fighters in Resistance tactics. The Bajoran accepted a Starfleet commission to help ease the racial tensions.			OFFICER Leadership Resistance SECURITY Navigation Honor x 2 X=3 vs. [Dom].
Klaestron Outpost*	Trad_Virtual_OTF_Open_Warp	1V-Klaestron	IC	1 V	DS9	univ	Facility		Cardassian/Federation	Outpost			24											Klaestron IV is a member of the United Federation of Planets. Its inhabitants also maintain a strong alliance with the Cardassian Union.			Seed one OR build where you have a Klaestron ENGINEER.
Stolen Attack Ship*	Trad_Virtual_OTF_Open_Warp	22V-Stolen-Attack-Ship	IC	22 V	DS9		Ship		Federation/Cardassian	Attack Ship Class	6	8	8						[Stf] 	Cardassian ship; Dominion ship; Energy Dampener; Federation ship; Invasive Transporters; Jem'hadar Attack Ship; Jem'Hadar Ship;			Kira;Luaran;	Jem'Hadar attack ship briefly commanded by Luaran. Upgraded with Breen weapons technology. Stolen by members of Damar's rebellion; commanded by Kira.			Energy Dampener, Invasive Transporters
Battle Cruiser*	Trad_Virtual_OTF_Open_Warp	23V-Battle-Cruiser	IC	23 V	TOS	univ	Ship		Klingon/Romulan	D-7 Class	6	5	5					[AU][OS]	[AU] 	Cloaking Device; Klingon ship; Romulan ship; Tractor Beam;	Klingon; Romulan;		Commander Charvanek	Klingon battle cruiser, circa 2267. Some were provided to the Romulan Star Empire in exchange for cloaking technology. Commander Charvanek captained one.			Cloaking Device, Tractor Beam DL/ Any [Univ] [OS] Klingon or Romulan
Cha'Joh*	Trad_Virtual_OTF_Open_Warp	24V-Cha'Joh	IC	24 V	DS9		Ship		Klingon/Romulan	Class D-12 Scout Vessel	7	5	5						 	Bird-of-Prey; Cloaking Device; Duras-related; Klingon ship; Romulan ship; Scout;	Bird-of-Prey;		Lursa;B'Etor;Sisters of Duras;	Small, obsolete, twenty-year-old Bird-of-Prey commanded by Lursa and B'Etor, the Sisters of Duras.			May benefit from two matching commanders. Cloaking Device
Containment Field	Trad_Virtual_OTF_Open_Warp	10V-Containment-Field	referee	10 V	VOY		Incident											[HA][Ref]									Seeds or plays on table. (Not duplicatable.) Each player who uses a DL/ icon, {Hidden Fighter}, or {Going to the Top} must first stack a card from hand face up here. Before each player's turn begins, they reclaim up to two of those cards; if they still have any here, they must skip that turn. Also, nullifies each {Destroy Radioactive Garbage Scow} (its owner loses its points), {Static Warp Bubble}, and {Telepathic Alien Kidnappers}.
Q the Referee	Trad_Virtual_OTF_Open_Warp	18V-Q-the-Referee	referee	18 V	CCG		Incident											[HA][Ref]									Seeds or plays on table. Once each turn, you may play one [Ref] card for free OR discard (or place beneath draw deck) one of your [Ref] cards from hand or in play to draw a card. Also, you may suspend play while you download any other [Ref] card (ignoring {Computer Crash}), then discard incident.
Access Denied	Trad_Virtual_OTF_Open_Warp	AccessDeniedRef	referee	9 V	FC		Incident											[HA][Ref]									Seeds or plays on table. While in play, nullifies all {Establish Gateway} objectives targeting your missions. You may suspend play while you discard incident to download {Fractal Encryption Code}.
Defend Homeworld	Trad_Virtual_OTF_Open_Warp	28V-Defend-Homeworld	referee	28 V	DS9		Objective											[HA][Ref]			hand weapon; Homeworld;						Seeds or plays on table. When opponent initiates battle against your card at a homeworld matching that card's affiliation, just after it is targeted you may download there any number of {HQ} cards and compatible ships, leaders, SECURITY personnel, and hand weapons. Once per game, you may discard objective to download a SECURITY personnel OR any HQ card (except {Return Orb to Bajor}).
Fair Play	Trad_Virtual_Open_Warp	3V-Fair-Play	referee	3 V	DS9		Event											[HA][Ref]						When Miles O'Brien discovered his publicized racquetball match was unfairly influenced by an alien gambling device, he refused to take advantage of an unfair situation.			Seeds or plays on table; may not be nullified. No player may solve an opponent's unique mission unless its point box shows at least 40 points OR both players have a copy of it in play.
Fair Play (Voyager)	Trad_Virtual_Open_Warp	3VB-Fair-Play	referee	3 V	VOY		Event											[HA][Ref]						In 2372, Tom Paris concocted a sweepstakes to guess the daily radiogenic particle count, skimming a tenth of the proceeds for himself. Chakotay put a stop to the game, confiscating the pot.			Seeds or plays on table; may not be nullified. No player may solve an opponent's unique mission unless its point box shows at least 40 points OR both players have a copy of it in play.
Temporal Vortex	Trad_Virtual_OTF_Open_Warp	TemporalVortex_RR	referee	2 V	FC		Doorway											[3][AU]									Plays on a time location. While in play, any ships may time travel between here and corresponding spaceline location. OR Suspends play while you place doorway on {Borg Ship} dilemma or {The Sheliak}. While in play, dilemma disappears. OR Plays on table. While in play, nullifies {Distortion of Space/Time Continuum}. OR Relocates one of your ships at a time location to spaceline location of opponent's choice.
Feedback Surge	Trad_Virtual_OTF_Open_Warp	11V-Feedback-Surge	referee	11 V	VOY		Incident											[HA][Ref]									Seeds or plays on table. If opponent completes {Establish Gateway} targeting a mission they did not seed, you score those points (instead of opponent). Also, if opponent discards any seed cards using {Ajur}, {Boratus}, {Senior Staff Meeting}, or their own dilemma, you may immediately re-seed them under any mission(s); opponent loses 10 points for each such card.
In the Zone	Trad_Virtual_Open_Warp	13V-In-the-Zone	referee	13 V	DS9		Incident											[Ref]									Seeds or plays on table. If a non-Borg player scores more than 50 points during a single turn (including this turn), those points in excess of 50 do not count toward winning. While your score is exactly 50 points, each of your ships has double RANGE and SHIELDS. Also, nullifies {End Transmission} and {Preparation}, and each player may call "{Devidian Door}" only during their turn (and only once per turn).
Intermix Ratio	Trad_Virtual_Open_Warp	4V-Intermix-Ratio	referee	4 V	FC		Event											[HA][Ref]						Zefram Cochrane struggled to maintain the optimum balance of matter and anti-matter injection for the Phoenix warp systems. The proper ratio, of course, is 1 to 1.			Plays on table. If any player's ratio of bonus points to non-bonus points exceeds 1:1, the excess bonus points do not count toward winning. (Immune to {Kevin Uxbridge}.)
Intruder Alert!	Trad_Virtual_OTF_Open_Warp	14V-Intruder-Alert	referee	14 V	DS9		Incident											[HA][Ref]		Capturing-related card;	Borg ship;						Seeds or plays on table; nullifies all seeded {Memory Wipe} cards. At any time, you may capture a one- or two-person Away Team in your {Ops} or assimilate one personnel intruder on your Borg ship or facility if your {Talon Drone} is present (discard incident) OR download {Intruder Force Field} (place incident atop event to protect it from nullification and extend its effects to all intruders on your ships).
It's Only a Game	Trad_Virtual_OTF_Open_Warp	15V-Its-Only-A-Game	referee	15 V	DS9		Incident											[HA][Ref]									Seeds or plays on table. Limits each non-Borg report with crew action to four total personnel/equipment. Limits {Red Alert} to one Personnel, one Ship and one Equipment card per turn. Limits probing and doubling for {Visit Cochrane Memorial} to once per game per persona. Also, whenever opponent draws three or more cards in one turn, you may download (even from discard pile) {Scorched Hand}, ignoring {Computer Crash}.
HQ: Orbital Weapons Platform	Trad_Virtual_OTF_Open_Warp	12V-HQ-Orbital-Weapons-Platform	referee	12 V	DS9		Incident											[Ref]			Homeworld;						Plays on any homeworld. Each time opponent initiates battle here against your ship or facility matching this homeworld's affiliation, just after it is targeted each of your Orbital Weapons Platforms here may "fire upon" an opposing ship present. Each ship fired upon is damaged = [Flip][Flip] for each platform that targets it, and you may exclude that ship from the battle.
Mirror Image	Trad_Virtual_OTF_Open_Warp	5V-Mirror-Image	referee	5 V	FC		Event											[4][HA][Ref]						Jean-Luc Picard reflected upon introducing an unstable element into a critical situation.			Seeds or plays on table. All {Red Alert}, {Kivas Fajo - Collector}, {Masaka Transformation}s and {The Traveler: Transcendence} cards affect all players. (Immune to {Kevin Uxbridge}.)
Obelisk of Masaka	Trad_Virtual_OTF_Open_Warp	Obelisk-of-Masaka-RefReprint	referee	16 V	TNG		Incident											[HA][Ref]			Interceptor;						Seeds or plays on table. Each time a card provides multiple card draws, only one may be converted to a download. Also, to move or initiate battle, each ship with one or more staffing icons (and each Interceptor) requires at least two crew members aboard. Once each turn (unless opponent has {The Mask of Korgano} in play), you may download {Masaka Transformations} targeting yourself, then discard incident.
Oof!	Trad_Virtual_OTF_Open_Warp	24V-Oof	referee	24 V	DS9		Interrupt											[Ref]						Surprised by Benjamin Sisko's rather unconventional response to Q's antagonism, the allegedly omnipotent being protested, "You hit me! Picard never hit me!"			Nullifies {Fightin' Words}. OR Places each {Q2}, {Amanda Rogers} and {Kevin Uxbridge} card in opponent's point area out-of-play; opponent loses 5 points for each. (Immune to {Amanda Rogers}.)
Operate Wormhole Relays	Trad_Virtual_OTF_Open_Warp	OperateWormholeRelays_a	referee	29 V	DS9		Objective																				Seeds or plays on table. once each turn, your staffed ship with two or fewer staffing icons and SCIENCE, Physics x2, and Astrophysics aboard may move through {Barzan} or {Bajoran Wormhole} (or between two {Transwarp Network Gateway}s by using RANGE equal to twice the span of the destination location, and is not stopped.
Panel Overload	Trad_Virtual_OTF_Open_Warp	PanelOverloadRR	referee	17 V	TNG		Incident											[HA][Ref]									Seeds or plays on table. Discard incident to nullify {Bynars Weapon Enhancement} or {Genetronic Replicator}. You may place incident on any outpost to prevent its {Spacedoor}s from re-opening (nullified by 4 ENGINEER aboard).
Q's Tent	Trad_Virtual_OTF_Open_Warp	1V-Q's-Tent	referee	1 V	TNG		Doorway																				Place one atop Q's Tent side deck (up to 13 different cards) during the seed phase. Q's Tent is now open and in play. OR Stock in deck and use as follows: Once per turn, play to take a card from tent into your hand, either your choice (discard doorway) or random selection (place doorway on top of your draw deck). Must show card to opponent. Draw no cards this turn.
Reactor Overload	Trad_Virtual_OTF_Open_Warp	19V-Reactor-Overload	referee	19 V	DS9		Incident											[HA][Ref]			Android; Drone;						Seeds or plays on table. If any player has "processed ore" to draw two cards per turn at any one {Ore Processing Unit}, destroys that site. OR Seeds or plays on table. Place on your ship or facility. EM surge disables each android aboard until Cybernetics present; erases all [Holo] cards aboard; kills each Borg aboard (unless [Com] drone in hive); and kills all {Rogue Borg} aboard. Return incident to your hand after either use.
Scanner Interference	Trad_Virtual_Open_Warp	20V-Scanner-Interference	referee	20 V	DS9		Incident											[HA][Ref]									Seeds or plays on table. Nullifies each {Scan} and {Full Planet Scan} unless owner has 2 Computer Skill aboard a staffed ship at targeted mission. Just after opponent scans mission (after seed cards are replaced) you may discard incident to seed one card there from hand, discard pile or {Q's Tent}. At any time you may discard incident to download {Atmospheric Ionization}, {Distortion Field} and/or {Particle Scattering Field}.
Scorched Hand	Trad_Virtual_OTF_Open_Warp	25V-Scorched-Hand	referee	25 V	FC		Interrupt											[Ref]						Plasma gas from the ruptured coolant tank liquified all the organic skin grafted onto Data's endoskeletal structure.			Plays to cause each player who has more than 12 cards in hand to shuffle all but 6 (random selection) and place beneath draw deck. (Immune to {Amanda Rogers}.)
Shape-Shift Inhibitor	Trad_Virtual_Open_Warp	6V-Shape-shift-Inhibitor	referee	6 V	DS9		Event											[Ref]						Prototype device developed by the Obsidian Order. Emits a quantum stasis field that prevents a changeling from altering its biomolecular structure.			Plays on table. Each player must first discard a personnel card in order to download a non-[Bor] personnel. (Immune to {Kevin Uxbridge}.)
Strategema	Trad_Virtual_OTF_Open_Warp	Strategema_RR_B	referee	21 V	TNG		Incident											[Ref]			Homeworld;						Seeds or plays on table. {Ooby Dooby} and {Rogue Borg Mercenaries} are nullified. {Q's Planet} may not enter play. Your opponent may not initiate battle or play {Outgunned} at a homeworld against your force containing a card matching that homeworld's affiliation.
The Big Picture	Trad_Virtual_Open_Warp	7V-The-Big-Picture	referee	7 V	FC		Event											[Ref]						Jean-Luc Picard had to convince Lily Sloane that she was on a starship orbiting Earth. To defeat the Borg, Captain Picard's crew had to succeed on the ship as well as on the planet.			Plays on table. Each player who has not solved (or scouted) at least two missions with point boxes (one [S] and one [P]) needs an additional 40 points to win. (May not be nullified.)
The Big Picture (Voyager)	Trad_Virtual_Open_Warp	7VB-The-Big-Picture	referee	7 V	VOY		Event											[Ref]						Though facing a long voyage across uncharted space, Kathryn Janeway never lost sight of her ultimate goal - to get her ship and crew home.			Plays on table. Each player who has not solved (or scouted) at least two missions with point boxes (one [S] and one [P]) needs an additional 40 points to win. (May not be nullified.)
The Juggler	Trad_Virtual_OTF_Open_Warp	26V-The-Juggler	referee	26 V	TNG		Interrupt											[Ref]						The Juggler hosted Lwaxana Troi and Alexander Rozhenko's visit to the Parallax Colony, all the time juggling his three worlds.			Choose any player to re-shuffle the cards in their draw deck.
The Wake of the Borg	Trad_Virtual_OTF_Open_Warp	TheWakeoftheBorg_RR	referee	27 V	TNG		Interrupt														Neutral Zone Region;			The New Providence colony on Jouret IV was scooped up by the Borg in 2366, just as Federation and Romulan outposts along the Neutral Zone had been destroyed in 2364.			Plays on opponent's Neutral Zone mission if they seeded 3 or more. End of opponent's next turn, all non-[Bor] ships, facilities and personnel there are returned to hand.
