Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Ty Kajada	Trad_Virtual_OTF_Open_Warp	tykajada	ds9	C	DS9	univ	Personnel		Non-Aligned	OFFICER	7	7	7					[Cmd]		Kobliad; Female; Support Personnel;		Ty Kajada		Female Kobliad security officer. Representative of law enforcement agents found on non-aligned worlds. Pursued the criminal Rao Vantika for 20 years.			OFFICER SECURITY Leadership
Type 18 Shuttlepod	Trad_Virtual_OTF_Open_Warp	type18shuttlepod	mm	122 U	DS9	univ	Ship		Federation	Shuttlepod	5	2	4						 	Federation ship; Shuttlecraft;	Defiant Class;		Benjamin Sisko	Small shuttlecraft. One commanded by Benjamin Sisko guided a silithium comet through the Bajoran wormhole.			May report with crew (each must have Navigation) to your Defiant-class ship.
Type 9 Shuttlecraft	Trad_Virtual_OTF_Open_Warp	type9shuttlecraft	voy	191 C	VOY	univ	Ship		Federation	Shuttlecraft	6	5	5						 	Federation ship;	Intrepid Class; Nova Class;			Typical shuttlecraft carried aboard Intrepid-class starships. U.S.S. Voyager carries an unusually large compliment.			May report aboard your Intrepid- and Nova-class ships.
Type VI Shuttlecraft	Trad_Virtual_OTF_Open_Warp	typevishuttlecraft	premiere	C	TNG	univ	Ship		Federation	Type VI Shuttlecraft	6	2	2						 	Federation ship; Shuttlecraft;				Modern Federation shuttle with warp capability. May be armed for special missions.			
U.S.S. Danube	Trad_Virtual_OTF_Open_Warp	USS-Danube	ds9	C	DS9	univ	Ship		Federation	Danube Class	7	4	5						 	Federation ship;				Class of runabout often named for Terran rivers. First commissioned in 2368. The following year, the U.S.S. Enterprise delivered three Danube-class vessels to DS9.			Reports for free to {Docking Pads}.
U.S.S. Excelsior	Trad_Virtual_OTF_Open_Warp	ussexcelsior	premiere	C	TNG	univ	Ship		Federation	Excelsior Class	6	6	7						[Stf][Stf] 	Federation ship; Tractor Beam;				First launched in 2284 as a test for what proved to be the unsuccessful transwarp project. Now uses standard warp drive.			Tractor Beam
U.S.S. Galaxy	Trad_Virtual_OTF_Open_Warp	ussgalaxy	premiere	C	TNG	univ	Ship		Federation	Galaxy Class	8	7	9						[Cmd][Stf][Stf] 	Federation ship; Holodeck; Prototype; Tractor Beam;				Prototype in this elite class of ships was the U.S.S. Galaxy, after which the class was named.			Holodeck, Tractor Beam
U.S.S. Intrepid	Trad_Virtual_OTF_Open_Warp	ussintrepid	voy	193 C	VOY	univ	Ship		Federation	Intrepid Class	8	7	8						[Cmd][Stf] 	Federation ship; Holodeck; Prototype; Tractor Beam;				Prototype introduced in the early 2370s. Its bio-neural circuits respond faster than optical relays. Average crew complement of 140. Capable of a sustained warp 9.975.			Holodeck, Tractor Beam
U.S.S. Miranda	Trad_Virtual_OTF_Open_Warp	ussmiranda	premiere	C	TNG	univ	Ship		Federation	Miranda Class	6	5	5						[Stf] 	Federation ship; Tractor Beam;				Small ship class from the late 23rd century. Named for a character in Shakespeare's play, The Tempest.			Tractor Beam
U.S.S. Nebula	Trad_Virtual_OTF_Open_Warp	ussnebula	premiere	C	TNG	univ	Ship		Federation	Nebula Class	8	7	8						[Cmd][Stf] 	Federation ship; Holodeck; Tractor Beam;				Modern class of ship featuring large upper equipment modules customizable for specific mission uses.			Holodeck, Tractor Beam
U.S.S. Oberth	Trad_Virtual_OTF_Open_Warp	USS-Oberth	premiere	C	TNG	univ	Ship		Federation	Oberth Class	6	4	7						[Stf] 	Federation ship; Tractor Beam;				Class of small ships often used for scientific missions. Named for 20th century rocket scientist Hermann Oberth.			Tractor Beam
Ulani Belor	Trad_Virtual_OTF_Open_Warp	ulanibelor	ds9	C	DS9	univ	Personnel		Cardassian	SCIENCE	6	7	4							Cardassian; Female; Support Personnel;		Ulani Belor		Representative of Cardassian scientists. Member of Ministry of Science. Worked on subspace radio relay project in 2371 with her associate, Gilora Rejal.			SCIENCE Physics Stellar Cartography
Uri'lash	Trad_Virtual_OTF_Open_Warp	ST1E-ENAGT025	agt	25 P	DS9	univ	Personnel		Ferengi	SECURITY	7	6	9					[Stf]		Hupyrian; Bodyguard; Male; Support Personnel;		Uri'lash		Typical Hupyrian. Hired by Brunt as a bodyguard during his brief stint as Grand Nagus in 2374.	Tower of Commerce	Brunt	SECURITY Honor Biology
Varat'idan	Trad_Virtual_OTF_Open_Warp	varatidan	twt	53 C	DS9	univ	Personnel		Dominion	SECURITY	6	8	8					[GQ][KW][Stf]		Jem'Hadar; Male; Support Personnel; Terok Nor-related personnel;		Varat'idan		Typical Jem'Hadar soldier. Fifth. Assigned to Terok Nor while station was occupied by the Dominion. Drilled in station defense tactics.			SECURITY Astrophysics Geology
Varel	Trad_Virtual_b00_OTF_Open_Warp	varel	premiere	C	TNG	univ	Personnel		Romulan	SCIENCE	4	7	5					[Stf]		Romulan; Female;		Varel		Representative of female Romulans trained in the field of science. Assigned to assist with interphase generator project.			SCIENCE Physics Computer Skill Youth
Vartoq	Trad_Virtual_OTF_Open_Warp	vartoq	mm	99 C	DS9	univ	Personnel		Klingon	OFFICER	5	5	8					[Cmd][KCA][MU]		Klingon; Male; Support Personnel;		Vartoq		First officer of the Alliance battle cruiser that intercepted Kira and Bashir's runabout when they first crossed over to the mirror universe.		Kira;Bashir	OFFICER Biology Transporter Skill
Vedek Sorad	Trad_Virtual_OTF_Open_Warp	vedeksorad	ds9	C	DS9	univ	Personnel		Bajoran	V.I.P.	6	6	5							Bajoran; Deep Space 9-related personnel; Male; Support Personnel; Vedek;		Vedek Sorad		Bajoran Vedek. Typical member of Vedek Assembly. Accompanied Minister Rozahn to Deep Space 9 in 2370 to deny Skrreean request to settle on Bajor.	Chamber of Ministers		V.I.P. Diplomacy MEDICAL
Vekma	Trad_Virtual_OTF_Open_Warp	vekma	premiere	C	TNG	univ	Personnel		Klingon	MEDICAL	6	5	6					[Stf]		Klingon; Female; I.K.S. Pagh-related personnel; Mission Specialist;		Vekma		Klingon female trained in Klingon anatomy and medicine. Propositioned Commander William T. Riker on the I.K.C. Pagh in 2365.			MEDICAL Honor
Borg Queen	Trad_OTF_Open_Warp	borgqueen	fc	R	FC	enig	Personnel		Borg		6	12	6					[Com][Def][DQ][Nav]		Borg; Female; Queen;	Drone;	Borg Queen		"I am the beginning; the end; the one who is many. I am the Borg.... I am the collective."			When reported, selects any skill; may change skill at start of each turn. May download {A Change of Plans} or a Borg drone in place of one card draw.
Borg Queen (The Borg)	Trad_OTF_Open_Warp	borgqueenborg	borg	50 R+	VOY	enig	Personnel		Borg		6	12	6					[Com][Def][DQ][Nav]		Species 125/Borg; Female; Queen;		Borg Queen		"We all originated from lesser species. I myself came from Species 125. But that's irrelevant now. We are Borg... Our thoughts are one... One order, one voice."			When reported, selects any skill; may change skill at start of each turn. May download any [BO] Event or Interrupt card in place of your normal card play.
Fontaine	Trad_OTF_Open_Warp	fontaine	mm	103 R+	DS9	enig	Personnel		Non-Aligned	CIVILIAN	3	6	5					[MU][Stf]		Male;		(Vic Fontaine)		Enigmatic Terran rebel. In the mirror universe, Vic Fontaine inexplicably fights other Terran rebels. Even more inexplicably, he is not a hologram.	War Council		CIVILIAN Navigation Astrophysics MEDICAL Music DL/ Two {disruptors (each must add STRENGTH +2)}.
Unicomplex	Trad_OTF_Open_Warp	unicomplex	borg	24 R+	VOY	enig	Facility		Borg	Outpost			74					[DQ]						Identification: BORG UNICOMPLEX Task: Centralize all collective operations. Coordinate.			Seeds or plays at any [S] mission with no affiliation icons. Once each turn, {Borg Queen} OR one unique drone OR one unique ship may report for free here.
Albert Einstein	Trad_Virtual_OTF_Open_Warp	alberteinstein	premiere	R	TNG	univ	Personnel		Federation	SCIENCE	9	11	2					[Holo]		Hologram; Male; Support Personnel;		Albert Einstein		Re-creation of the famed 20th century human. Author of the theory of relativity.			SCIENCE Physics x 2 Astrophysics
Alliance Galor	Trad_Virtual_OTF_Open_Warp	alliancegalor	mm	116 C	DS9	univ	Ship		Cardassian	Galor Class	8	8	8					[KCA][MU]	[Cmd][KCA] 	Cardassian ship; Tractor Beam; Warship;				Typical Cardassian warship in the mirror universe. Type 3 designation. Part of the Klingon/Cardassian Alliance fleet. Stationed at Terok Nor.			Tractor Beam
Alliance Interceptor	Trad_Virtual_OTF_Open_Warp	allianceinterceptor	mm	114 C	DS9	univ	Ship		Bajoran	Interceptor Class	5+X	8	6					[KCA][MU]	[KCA] 	Bajoran ship; Interceptor;				Bajoran short-range interceptor used in the mirror universe. One of the few military contributions Bajor offers the Klingon/Cardassian Alliance.			May take off or land once each turn. X=4 if moving within a region.
Alliance K'Vort	Trad_Virtual_OTF_Open_Warp	alliancekvort	mm	124 C	DS9	univ	Ship		Klingon	K'vort Class	8	7	7					[KCA][MU]	[KCA] 	Bird-of-Prey; Klingon ship; Tractor Beam;				Klingon Bird-of-Prey. Standard patrol and pursuit craft of the Klingon/Cardassian Alliance. One of the most expendable elements of the Regent's fleet.			Tractor Beam
Alliance Nor	Trad_OTF_Open_Warp	alliancenor	mm	26 C	DS9	univ	Facility		Cardassian	Station		6	30					[KCA][MU]						Ore mining and processing station representative of facilities used by the Klingon/Cardassian Alliance.			Seeds or plays at any mission in Mirror Quadrant (except in the Badlands Region). [eDS9] {Ops} may not seed or play on this Nor.
Alliance Vor'Cha	Trad_Virtual_OTF_Open_Warp	alliancevorcha	mm	125 C	DS9	univ	Ship		Klingon	Vor'cha Class	9	9	8					[KCA][MU]	[Cmd][KCA][Stf] 	Klingon ship; Tractor Beam;				Fast and powerful battle cruiser. Backbone of the Alliance fleet. Their only weakness is in their targeting systems; they've been known to chase warp shadows.			Tractor Beam
Alpha Attack Ship	Trad_Virtual_OTF_Open_Warp	alphaattackship	bog	U	DS9	univ	Ship		Dominion	Attack Ship Class	6	8	9						[Stf] 	Dominion ship; Invasive Transporters; Jem'hadar Attack Ship; Jem'Hadar Ship;				Jem'Hadar attack ship produced at Chin'toka shipyard in Alpha Quadrant. Constructed after enemy forces restricted Dominion access to the Bajoran Wormhole.			May avoid being targeted by {Establish Tractor Lock}. Invasive Transporters
Amaros	Trad_Virtual_OTF_Open_Warp	amaros	ds9	C	DS9	univ	Personnel		Non-Aligned	ENGINEER	6	6	7					[Maq][Stf]		Human; Male; Support Personnel;		Amaros		Maquis terrorist. Cal Hudson's co-pilot. Helped abduct Gul Dukat, blaming him for supplying illegal weapons to Cardassians in the Demilitarized Zone.			ENGINEER Navigation Physics
Amet'alox	Trad_Virtual_OTF_Open_Warp	ametalox	twt	49 C	DS9	univ	Personnel		Dominion	SECURITY	7	7	9					[GQ][KW][Stf]		Jem'Hadar; Male; Support Personnel; Terok Nor-related personnel;		Amet'alox		Jem'Hadar Fourth. Representative of Dominion troops deployed to hold Terok Nor after its capture near the end of 2373.			SECURITY Transporter Skill Stellar Cartography
Analyze Radiation	Trad_Virtual_OTF_Open_Warp	028analyzeradiation	tmp	28 C		univ	Mission	[S]	[FED]					25	Briar Patch Region	Alpha	5			Briar Patch Region; Nebula;	Briar Patch Region; Son'a ship;			Conduct analysis of the metaphasic particles in this nebula.			Astrophysics + Biology + Navigation Span -2 for all Son'a ships.
Anara	Trad_Virtual_OTF_Open_Warp	anara	ds9	C	DS9	univ	Personnel		Bajoran	ENGINEER	6	7	4					[Stf]		Bajoran; Deep Space 9-related personnel; Female; Support Personnel;		Anara		Representative of Bajoran engineering apprentices serving on Deep Space 9. Assisted Miles O'Brien with computer "pup" in 2369.			ENGINEER Physics Transporter Skill
Angelo Tassoni	Trad_Virtual_OTF_Open_Warp	angelotassonifed	borg	68 C	VOY	univ	Personnel		Federation/Non-Aligned	SECURITY	5	6	7					[DQ][Stf]		Human; Male; Mission Specialist; U.S.S. Equinox-related personnel;		Angelo Tassoni		One of the U.S.S. Equinox crewmen stripped of rank by Kathryn Janeway upon joining U.S.S. Voyager. Fit in with his new crew without major incident.			SECURITY Navigation
Angelo Tassoni*	Trad_Virtual_OTF_Open_Warp	angelotassonina	borg	68 C	VOY	univ	Personnel		Non-Aligned/Federation	SECURITY	5	6	7					[DQ][Stf]		Human; Male; Mission Specialist; U.S.S. Equinox-related personnel;		Angelo Tassoni		One of the U.S.S. Equinox crewmen stripped of rank by Kathryn Janeway upon joining U.S.S. Voyager. Fit in with his new crew without major incident.			SECURITY Navigation
Aramax	Trad_Virtual_OTF_Open_Warp	aramax	mm	58 C	DS9	univ	Personnel		Cardassian	MEDICAL	4	8	6					[KCA][MU][Stf]		Cardassian; Male; Support Personnel;		Aramax		Representative of Cardassians in the mirror universe. Strives to be noticed - without raising the ire of Security Chief Garak. Has done neither thus far.		Security Chief Garak	MEDICAL SCIENCE Greed
Ari	Trad_Virtual_OTF_Open_Warp	ari	ds9	C	DS9	univ	Personnel		Cardassian	OFFICER	8	6	6					[Stf]		Cardassian; Dissident; Male;		Ari		Dissident. Typical member of Cardassian underground. Loyal to Ghemor. Helped Kira Nerys escape Obsidian Order in 2371. Has hopes for a better Cardassia.			OFFICER Honor Transporter Skill Computer Skill
Assault Vessel	Trad_Virtual_OTF_Open_Warp	assaultvessel	ds9	C	DS9	univ	Ship		Bajoran	Assault Class	8	7	6						[Stf][Stf] 	Bajoran ship; Tractor Beam;			General Krim;Colonel Day;	Mainstay of the Bajoran Militia. During the 2370 coup attempt by the Circle, assault vessels commanded by General Krim and Colonel Day invaded Deep Space 9.			Tractor Beam
Atul	Trad_Virtual_OTF_Open_Warp	atul	dom	U	DS9	univ	Personnel		Klingon	SECURITY	4	7	7					[Stf]		Klingon; Deep Space 9-related personnel; Male; Mission Specialist;		Atul		Typical Klingon Intelligence specialist. Dispatched to Deep Space 9 with Morka and Bo'rak to investigate Romulan activity.			SECURITY Klingon Intelligence
Ayala	Trad_Virtual_OTF_Open_Warp	ayalafed	voy	114 C	VOY	univ	Personnel		Federation/Non-Aligned	SECURITY	7	7	7					[DQ][Maq][Stf]		Human; Male; Mission Specialist;		Ayala		Versatile Maquis who has served exceptionally aboard U.S.S. Voyager. His many assignments have included tactical, ops, and guarding the brig.			SECURITY Astrophysics
Ayala*	Trad_Virtual_OTF_Open_Warp	ayalana	voy	114 C	VOY	univ	Personnel		Non-Aligned/Federation	SECURITY	7	7	7					[DQ][Maq][Stf]		Human; Male; Mission Specialist;		Ayala		Versatile Maquis who has served exceptionally aboard U.S.S. Voyager. His many assignments have included tactical, ops, and guarding the brig.			SECURITY Astrophysics
Azet'izan	Trad_Virtual_OTF_Open_Warp	azetizan	dom	C	DS9	univ	Personnel		Dominion	OFFICER	7	8	9					[GQ][KW][Stf]		Jem'Hadar; Male; Support Personnel;		Azet'izan		Third serving under Omet'iklan. Representative of Jem'Hadar officers. Participated in eradication of dishonorable Jem'Hadar renegades on Vandros IV.			OFFICER Leadership Computer Skill
Bajoran Freighter	Trad_Virtual_OTF_Open_Warp	bajoranfreighter	ds9	C	DS9	univ	Ship		Bajoran	Freighter	7	3	6						[Stf] 	Bajoran ship;				Typical freighter used by merchants and military. Based on a standard Bajoran hull design. Frequently hauls goods and passengers to Bajoran settlements.			
Bajoran Interceptor	Trad_Virtual_OTF_Open_Warp	bajoraninterceptor	ds9	U	DS9	univ	Ship		Bajoran	Interceptor Class	5+X	7	6						 	Bajoran ship; Interceptor;				Patrols high orbit of Bajor and surrounding region. Used by the Circle to shoot down a subimpulse raider during the attempted coup of 2370.			May take off or land once each turn. X=4 if moving within a region.
Bajoran Raider	Trad_Virtual_OTF_Open_Warp	bajoranraider	twt	100 U	DS9	univ	Ship		Bajoran	Raider Class	4+X	5	4						 	Bajoran ship;			Kira Nerys	Nimble fighter used by the Bajoran resistance during the occupation. Kira Nerys commanded one in 2370.			Once each turn, may report with crew, take off, or land. X=4 if moving within a region.
Bajoran Scout Vessel	Trad_Virtual_OTF_Open_Warp	bajoranscoutvessel	ds9	U	DS9	univ	Ship		Bajoran	Scout Class	8	4	4						 	Bajoran ship; Scout;			Tahna Los	Used for scouting and scientific tasks. Bears a resemblance to other Bajoran vessels, although much smaller in size. Tahna Los stole and commanded one.			
Bajoran Warship	Trad_Virtual_OTF_Open_Warp	bajoranwarship	mm	115 R	TNG	univ	Ship		Bajoran	Warship Class	10	9	8					[AU]	[AU][Cmd][Stf] 	Bajoran ship; Cloaking Device; Holodeck; Tractor Beam; Warship;				In a parallel universe, the Bajorans grew increasingly hostile after overthrowing the Cardassian Empire. This massive ship attacked the U.S.S. Enterprise in 2370.			Cloaking Device, Holodeck, Tractor Beam
Bat'leth Tournament	Trad_Virtual_OTF_Open_Warp	batlethtournament	bog	U		univ	Mission	[P]	[KLI]					25*		Alpha	3							Participate in bat'leth competition held at this Klingon settlement.			Honor + {any bat'leth} *+10 if bat'leth is {Sword of Kahless}.
Batrell	Trad_Virtual_OTF_Open_Warp	batrell	premiere	C	TNG	univ	Personnel		Klingon	OFFICER	7	3	7					[Cmd]		Klingon; Male; Mission Specialist;		Batrell		Klingon trained as an officer for the Klingon Defense Force. Formerly in command of Narendra III outpost.			OFFICER Honor
Battle Cruiser	Trad_Virtual_OTF_Open_Warp	battlecruiser	mm	129 C	TOS	univ	Ship		Romulan/Klingon	D-7 Class	6	5	5					[AU][OS]	[AU] 	Cloaking Device; Klingon ship; Romulan ship; Tractor Beam;	Klingon; Romulan;		Commander Charvanek	Klingon battle cruiser, circa 2267. Some were provided to the Romulan Star Empire in exchange for cloaking technology. Commander Charvanek captained one.			Cloaking Device, Tractor Beam DL/ Any [Univ] [OS] Klingon or Romulan
B'iJik	Trad_Virtual_OTF_Open_Warp	bijik	premiere	C	TNG	univ	Personnel		Klingon	OFFICER	4	6	6					[Stf]		Klingon; Male; Mission Specialist;		B'iJik		Klingon male trained as an officer for the Klingon Defense Force. Served as junior adjutant to the diplomatic delegation for Gowron.			OFFICER Navigation
Borg Cube	Trad_Virtual_OTF_Open_Warp	Borg-Cube	fc	U	FC	univ	Ship		Borg	Borg Cube	8	24	24	45				[DQ]	[Borg][Borg][Borg][Com][Def][Nav][Nav] 	Borg ship; Tractor Beam;				Identification: BORG CUBE Task: Explore galaxy for biological and technological distinctiveness. Assimilate.			Your equipment and Borg personnel may report aboard. Tractor Beam
Borg Cube (The Borg)	Trad_Virtual_OTF_Open_Warp	borgcubeborg	borg	120 U	VOY	univ	Ship		Borg	Borg Cube	8	24	24	45				[DQ]	[Borg][Borg][Borg][Com][Def][Nav][Nav] 	Borg ship; Tractor Beam;				Identification: BORG CUBE Task: Assimilate new cultures and technologies. Add to the perfection of the collective.			Your equipment and Borg personnel may report aboard. Tractor Beam
Borg Outpost	Trad_OTF_Open_Warp	borgoutpostborg	borg	23 C	VOY	univ	Facility		Borg	Outpost			48					[DQ]						Identification: BORG OUTPOST Task: Distribute resources in specified unimatrix.			Seed one at any [S] mission with no affiliation icons OR build at such a mission (or at an assimilated planet) where you have a Borg ENGINEER. DL/ {Transwarp Network Gateway}
Borg Probe	Trad_Virtual_OTF_Open_Warp	borgprobe	borg	121 C	VOY	univ	Ship		Borg	Borg Probe	8	6	6	10				[DQ]	[Borg][Nav] 	Borg ship; Tractor Beam;				Identification: BORG PROBE Task: Explore unimatricies at the borders of Borg space. Locate biological and technological distinctiveness.			May report with crew to any Delta Quadrant location (limit 3 cards aboard) if your {Borg Queen} in play. Tractor Beam
Borg Scout Vessel	Trad_Virtual_OTF_Open_Warp	borgscoutvessel	fc	C	FC	univ	Ship		Borg	Borg Scout Vessel	7	4	4	5				[DQ]	[Nav] 	Borg ship; Scout;				Identification: BORG SCOUT VESSEL Task: Search for assimilation targets. Establish transwarp connections.			May report with crew to a {Transwarp Network Gateway} at any spaceline end (download doorway if necessary).
