Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Lore	Reports	Names	Text
Albert Einstein (Premiere Traditional)	Trad_Open_Warp	PT195	PT	195 TR	TNG	univ	Personnel		Federation	SCIENCE	9	11	2					[Holo]		Hologram; Male; Support Personnel;				Re-creation of the famed 20th century human. Author of the theory of relativity.			SCIENCE Physics x 2 Astrophysics
Batrell (Premiere Traditional)	Trad_Open_Warp	PT255	PT	255 TC	TNG	univ	Personnel		Klingon	OFFICER	7	3	7					[Cmd]		Klingon; Male; Mission Specialist;				Klingon trained as an officer for the Klingon Defense Force. Formerly in command of Narendra III outpost.			OFFICER Honor
B'iJik (Premiere Traditional)	Trad_Open_Warp	PT253	PT	253 TC	TNG	univ	Personnel		Klingon	OFFICER	4	6	6					[Stf]		Klingon; Male; Mission Specialist;				Klingon male trained as an officer for the Klingon Defense Force. Served as junior adjutant to the diplomatic delegation for Gowron.		Gowron	OFFICER Navigation
Calloway (Premiere Traditional)	Trad_Open_Warp	PT201	PT	201 TC	TNG	univ	Personnel		Federation	MEDICAL	7	5	3							Human; Female; Mission Specialist; U.S.S. Enterprise-related personnel;				Ensign Calloway is representative of Starfleet medical technicians. Served aboard the U.S.S. Enterprise in 2370.		U.S.S. Enterprise	MEDICAL Youth
Christopher Hobson (Premiere Traditional)	Trad_Open_Warp	PT202	PT	202 TC	TNG	univ	Personnel		Federation	OFFICER	6	7	6					[Cmd]		Human; Male; Mission Specialist;				Lt. Commander Christopher Hobson is representative of staff officers in Starfleet. Served aboard the U.S.S. Sutherland in 2368.		U.S.S. Sutherland	OFFICER Computer Skill
Combat Vessel (Premiere Traditional)	Trad_Open_Warp	PT352	PT	352 TC	TNG	univ	Ship		Non-Aligned	Combat Class	8	8	6						[Stf][Stf] 					A little-known class of attack craft. One such vessel attacked the U.S.S. Enterprise in 2368 at Surplus Depot Zed-15.			
Darian Wallace (Premiere Traditional)	Trad_Open_Warp	PT203	PT	203 TC	TNG	univ	Personnel		Federation	SECURITY	7	5	6							Human; Male; Mission Specialist; U.S.S. Enterprise-related personnel;				Ensign Darian Wallace is representative of Starfleet security officers. Held numerous positions aboard the U.S.S. Enterprise.		U.S.S. Enterprise	SECURITY Anthropology
D'deridex (Premiere Traditional)	Trad_Open_Warp	PT357	PT	357 TC	TNG	univ	Ship		Romulan	D'deridex Class	8	9	7						[Cmd][Stf][Stf] 	Cloaking Device; Romulan ship; Tractor Beam;				Imperial Romulan Warbird. A massive ship significantly larger than a Galaxy class starship.			Cloaking Device, Tractor Beam
Divok (Premiere Traditional)	Trad_Open_Warp	PT256	PT	256 TC	TNG	univ	Personnel		Klingon	MEDICAL	6	6	8					[Stf]		Klingon; Male; Support Personnel;				Male trained in Klingon anatomy and medicine. Studied the effects of Tribbles on the Klingon nervous system.			MEDICAL Biology Youth
Dr. Farek (Premiere Traditional)	Trad_Open_Warp	PT293	PT	293 TC	TNG	univ	Personnel		Non-Aligned	MEDICAL	2	8	3					[Cmd]		Ferengi; Male; Mission Specialist;				Dr. Farek is representative of male Ferengi trained in medicine. Seized control of the D'Kora class Ferengi Marauder, Krayton, in 2366.		Krayton	MEDICAL Greed
Dr. Leah Brahms (Premiere Traditional)	Trad_Open_Warp	PT207	PT	207 TR	TNG	univ	Personnel		Federation	ENGINEER	7	9	2					[Holo]		Hologram; Female; Mission Specialist;				Re-creation who said, "I'm with you every day, Geordi. Every time you look at this engine, you're looking at me. Every time you touch it, it's me."		Geordi	ENGINEER ENGINEER
Dukath (Premiere Traditional)	Trad_Open_Warp	PT257	PT	257 TC	TNG	univ	Personnel		Klingon	SCIENCE	5	6	7					[Stf]		Klingon; I.K.S. Pagh-related personnel; Male; Mission Specialist;				Klingon trained in the field of science. Studied the effects of Berthold rays on plant life. Served aboard the I.K.C. Pagh.		I.K.C. Pagh	SCIENCE Archaeology
Exocomp (Premiere Traditional)	Trad_Open_Warp	PT210	PT	210 TU	TNG	univ	Personnel		Federation	ENGINEER	9	8	1							Android; Male;				Sentient artificial life-form incorporating an advanced microreplication system. Specializes in repair tasks. Servomechanism designed by Dr. Farallon.		Dr. Farallon	ENGINEER If aboard ship, can repair damage in two of your full turns, without returning to outpost.
Fek'lhr (Premiere Traditional)	Trad_Open_Warp	PT259	PT	259 TU	TNG	univ	Personnel		Klingon	V.I.P.	6	1	15					[Holo]		Hologram; Male; Support Personnel;				Re-creation of mythical Klingon beast. Guardian of Gre'thor, where the dishonored go to die.			V.I.P. Honor Treachery
Galathon (Premiere Traditional)	Trad_Open_Warp	PT306	PT	306 TC	TNG	univ	Personnel		Romulan	OFFICER	3	7	9					[Cmd]		Romulan; Male;				Romulan officer representative of those serving the Romulan Star Empire. Pursuer of DNA program in 2369.			OFFICER Archaeology Greed Treachery
Giusti (Premiere Traditional)	Trad_Open_Warp	PT213	PT	213 TC	TNG	univ	Personnel		Federation	OFFICER	7	6	4					[Stf]		Human; Female; Mission Specialist; U.S.S. Enterprise-related personnel;				Ensign Giusti is representative of staff officers in Starfleet. Served at the Ops console aboard the U.S.S. Enterprise in 2370.		U.S.S. Enterprise	OFFICER Youth
Gorath (Premiere Traditional)	Trad_Open_Warp	PT260	PT	260 TC	TNG	univ	Personnel		Klingon	SECURITY	6	4	7					[Stf]		Klingon; High Council; Male; Mission Specialist;				Klingon trained in the field of security. Guarded the Klingon High Council chamber in the year of Maktag. Served as security chief for the Hegh'bat division.	The Great Hall		SECURITY Honor
Gorta (Premiere Traditional)	Trad_Open_Warp	PT297	PT	297 TC	TNG	univ	Personnel		Non-Aligned	ENGINEER	3	7	4							Dopterian; Duras-related; Male; Support Personnel;				Male of Dopterian race. Representative of non-aligned agents. An opportunist. Had an encounter with the sisters of Duras in 2370.		Sisters of Duras;Duras	ENGINEER Physics Greed
Husnock Ship (Premiere Traditional)	Trad_Open_Warp	PT353	PT	353 TU	TNG	univ	Ship		Non-Aligned	Unknown Class	6	9	12						[Cmd][Stf][Stf] 	Holodeck; Tractor Beam;				With a single thought, Kevin Uxbridge killed the entire Husnock race (50 billion lives) everywhere in the universe. Their powerful ships remain.			Holodeck, Tractor Beam
I.K.C. K'Vort (Premiere Traditional)	Trad_Open_Warp	PT347	PT	347 TC	TNG	univ	Ship		Klingon	K'vort Class	8	6	6						[Stf] 	Bird-of-Prey; Cloaking Device; Klingon ship; Tractor Beam;				Class of ships identical in configuration to the classic B'rel class Klingon Bird-of-Prey, although much larger.			Cloaking Device, Tractor Beam
I.K.C. Vor'Cha (Premiere Traditional)	Trad_Open_Warp	PT350	PT	350 TC	TNG	univ	Ship		Klingon	Vor'cha Class	9	8	7						[Cmd][Stf][Stf] 	Cloaking Device; Klingon ship; Tractor Beam;				Large attack cruiser. The modern mainstay of the Klingon Defense Force.			Cloaking Device, Tractor Beam
Jaron (Premiere Traditional)	Trad_Open_Warp	PT307	PT	307 TC	TNG	univ	Personnel		Romulan	SECURITY	4	7	9					[Stf]		Romulan; Male; Support Personnel;				Romulan trained in the field of security. A former member of the Tal Shiar intelligence service.			SECURITY Geology Youth
J'Ddan (Premiere Traditional)	Trad_Open_Warp	PT262	PT	262 TC	TNG	univ	Personnel		Klingon	SCIENCE	2	6	6					[Stf]		Klingon; Male; Support Personnel;				Klingon trained in the field of science. Smuggled Federation secrets to the Romulans in the form of amino acid codes.			SCIENCE Exobiology Treachery
Jera (Premiere Traditional)	Trad_Open_Warp	PT308	PT	308 TC	TNG	univ	Personnel		Romulan	MEDICAL	4	7	6					[Holo]		Hologram; Female; Support Personnel;				Re-creation of a female Romulan. Alien entity assumed this body in 2369.			MEDICAL Biology Youth
Klag (Premiere Traditional)	Trad_Open_Warp	PT270	PT	270 TC	TNG	univ	Personnel		Klingon	OFFICER	6	5	7					[Cmd]		Klingon; I.K.S. Pagh-related personnel; Male; Mission Specialist;				Second Officer Klag, of the I.K.C. Pagh, is representative of Klingon warriors throughout the Klingon Empire.		I.K.C. Pagh	OFFICER Navigation
Kle'eg (Premiere Traditional)	Trad_Open_Warp	PT271	PT	271 TC	TNG	univ	Personnel		Klingon	SECURITY	6	4	7					[Stf]		Klingon; Male; Mission Specialist;				Klingon trained in the specific field of security. Guarded the House of K'mpec when K'mpec was poisoned in 2367.		K'mpec	SECURITY Honor
Kromm (Premiere Traditional)	Trad_Open_Warp	PT276	PT	276 TC	TNG	univ	Personnel		Klingon	ENGINEER	5	6	8					[Stf]		Klingon; Male; Mission Specialist;				Klingon trained in the field of engineering. Reputed to have consumed fifteen rokeg blood pies at one sitting.			ENGINEER Physics
K'Tesh (Premiere Traditional)	Trad_Open_Warp	PT265	PT	265 TC	TNG	univ	Personnel		Klingon	ENGINEER	5	5	6					[Holo]		Hologram; Male; Mission Specialist;				Re-creation who assisted in the Age of Ascension ritual. Perfected current pain-stick design for ritual use.			ENGINEER Stellar Cartography
Linda Larson (Premiere Traditional)	Trad_Open_Warp	PT220	PT	220 TC	TNG	univ	Personnel		Federation	ENGINEER	7	5	4					[Stf]		Human; Female; Mission Specialist;				Lieutenant Linda Larson is representative of staff engineers serving in Starfleet.			ENGINEER Youth
McKnight (Premiere Traditional)	Trad_Open_Warp	PT222	PT	222 TC	TNG	univ	Personnel		Federation	OFFICER	5	6	3					[Stf]		Human; Female; U.S.S. Enterprise-related personnel;				Ensign McKnight is one of many helm officers serving aboard the U.S.S. Enterprise. Distant relative of a famous 20th century game designer.		U.S.S. Enterprise	OFFICER Navigation Youth Music
Mendon (Premiere Traditional)	Trad_Open_Warp	PT223	PT	223 TC	TNG	univ	Personnel		Federation	SCIENCE	7	5	2					[Stf]		Benzite; Male; Mission Specialist; U.S.S. Enterprise-related personnel;				Ensign Mendon is a Benzite male representative of science specialists within Starfleet. Served aboard the U.S.S. Enterprise in 2365. Looks like Mordock.		Mordock;U.S.S. Enterprise	SCIENCE Physics
Mercenary Ship (Premiere Traditional)	Trad_Open_Warp	PT354	PT	354 TC	TNG	univ	Ship		Non-Aligned	Unknown Class	7	7	7						[Stf][Stf] 	Long-Range Scan Shielding;				Little-known ship. Difficult to track due to a unique hull design that renders it invisible to long-range scans. Baran captained one in 2370.			Long-Range Scan Shielding
Narik (Premiere Traditional)	Trad_Open_Warp	PT300	PT	300 TC	TNG	univ	Personnel		Non-Aligned	ENGINEER	2	7	6					[Stf]		Male; Mission Specialist; Stone of Gol-related personnel;				Representative of male mercenaries operating throughout the galaxy. Worked with Baran to find the Stone of Gol.		Baran	ENGINEER Computer Skill
Palteth (Premiere Traditional)	Trad_Open_Warp	PT314	PT	314 TC	TNG	univ	Personnel		Romulan	ENGINEER	3	8	7					[Stf]		Romulan; Male; Mission Specialist;				Romulan trained in the field of engineering. A specialist in artificial quantum singularity. Served aboard the Khazara in 2369.		Khazara	ENGINEER Computer Skill
Runabout (Premiere Traditional)	Trad_Open_Warp	PT331	PT	331 TC	TNG	univ	Ship		Federation	Runabout Class	7	5	5						 	Federation ship; No staffing requirement;				Resembles a large shuttle. Contains living accommodations. Modular design can be re-configured for different mission profiles.			
Science Vessel (Premiere Traditional)	Trad_Open_Warp	PT362	PT	362 TC	TNG	univ	Ship		Romulan	Science Class	8	5	6						 	No staffing requirement; Romulan ship;				Specialized science ship used for an Interphase Generator experiment in 2368.			
Scout Vessel (Premiere Traditional)	Trad_Open_Warp	PT363	PT	363 TC	TNG	univ	Ship		Romulan	Scout Class	9	3	3						 	No staffing requirement; Romulan ship; Scout;				Class of small, versatile ships used by the Romulan Star Empire for reconnaissance and science missions.			
Selok (Premiere Traditional)	Trad_Open_Warp	PT318	PT	318 TC	TNG	univ	Personnel		Romulan	V.I.P.	4	8	5					[Stf]		Romulan/Vulcan; Ambassador; Female; Mission Specialist;				Subcommander Selok is a female Romulan agent. Successfully posed as Vulcan Ambassador T'Pel.		T'Pel	V.I.P. Treachery
Simon Tarses (Premiere Traditional)	Trad_Open_Warp	PT236	PT	236 TC	TNG	univ	Personnel		Federation	MEDICAL	6	5	5							Romulan/Human; Male; Mission Specialist;				Crewman First Class Simon Tarses is representative of Starfleet medical technicians. He is 1/4 Romulan, 3/4 Human.			MEDICAL Youth
Sir Isaac Newton (Premiere Traditional)	Trad_Open_Warp	PT237	PT	237 TR	TNG	univ	Personnel		Federation	SCIENCE	7	11	3					[Holo]		Hologram; Male; Mission Specialist;				Re-creation of the famous 18th century human. Originator of calculus and the classic laws of physics.			SCIENCE Physics x 2
Sito Jaxa (Premiere Traditional)	Trad_Open_Warp	PT239	PT	239 TC	TNG	univ	Personnel		Federation	SECURITY	8	6	6					[Stf]		Bajoran; Female; Support Personnel; U.S.S. Enterprise-related personnel;				Ensign Sito Jaxa, a Bajoran, is one of a number of navigation officers aboard the U.S.S. Enterprise.		U.S.S. Enterprise	SECURITY Navigation Youth
Taitt (Premiere Traditional)	Trad_Open_Warp	PT242	PT	242 TC	TNG	univ	Personnel		Federation	SCIENCE	6	7	4					[Stf]		Human; Female; Support Personnel; U.S.S. Enterprise-related personnel;				Ensign Taitt is representative of science specialists from Starfleet Academy. Helped the U.S.S. Enterprise destroy a Borg ship in 2370.		U.S.S. Enterprise	SCIENCE Stellar Cartography Geology
Takket (Premiere Traditional)	Trad_Open_Warp	PT320	PT	320 TC	TNG	univ	Personnel		Romulan	MEDICAL	4	7	7					[Cmd]		Romulan; Male; Mission Specialist;				Romulan male trained in Romulan anatomy and medicine. Extensively trained in exobiology.			MEDICAL Exobiology
Tallus (Premiere Traditional)	Trad_Open_Warp	PT321	PT	321 TC	TNG	univ	Personnel		Romulan	OFFICER	3	7	7					[Cmd]		Romulan; Male; Mission Specialist;				Romulan officer representative of those serving the Romulan Star Empire. Former commander of private forces under Commander Sela.		Commander Sela	OFFICER Leadership
Tarus (Premiere Traditional)	Trad_Open_Warp	PT322	PT	322 TC	TNG	univ	Personnel		Romulan	SCIENCE	4	8	7					[Stf]		Romulan; Male; Mission Specialist;				Representative of male Romulans trained in the field of science. Specialist in the study of extra-dimensional life-forms.			SCIENCE Stellar Cartography
Taul (Premiere Traditional)	Trad_Open_Warp	PT323	PT	323 TC	TNG	univ	Personnel		Romulan	SECURITY	4	7	8					[Stf]		Romulan; Male; Support Personnel;				Romulan male trained in the field of security. Assistant to Commander Konsab of the Romulan Intelligence Academy.		Commander Konsab	SECURITY Treachery Archaeology
Taurik (Premiere Traditional)	Trad_Open_Warp	PT245	PT	245 TC	TNG	univ	Personnel		Federation	ENGINEER	7	7	8					[Stf]		Vulcan; Male; Mission Specialist;				Lieutenant Taurik is a Vulcan male representative of engineering junior officers serving in Starfleet.			ENGINEER Mindmeld
Thei (Premiere Traditional)	Trad_Open_Warp	PT325	PT	325 TC	TNG	univ	Personnel		Romulan	OFFICER	4	6	8					[Cmd]		Romulan; Duras-related; Male; Support Personnel;				Subcommander Thei is representative of officers serving in the Romulan Star Empire. Ally of the sisters of Duras during the Klingon Civil War.		Sisters of Duras;Duras	OFFICER Geology Physics
Tomek (Premiere Traditional)	Trad_Open_Warp	PT328	PT	328 TC	TNG	univ	Personnel		Romulan	ENGINEER	4	7	6					[Holo]		Hologram; Male; Mission Specialist;				Re-creation of a male Romulan. Alien entity assumed this body in 2369.			ENGINEER Astrophysics
Torin (Premiere Traditional)	Trad_Open_Warp	PT286	PT	286 TC	TNG	univ	Personnel		Klingon	SCIENCE	7	6	6							Klingon; Male; Mission Specialist;				Klingon trained in the field of science. Studied the effects of warp propulsion on subspace.			SCIENCE Astrophysics
Vekor (Premiere Traditional)	Trad_Open_Warp	PT303	PT	303 TC	TNG	univ	Personnel		Non-Aligned	SCIENCE	2	7	6					[Cmd]		Female; Stone of Gol-related personnel;				Representative of female mercenaries operating throughout the galaxy. Worked with Baran to find the Stone of Gol.		Baran	SCIENCE MEDICAL Navigation Geology
Benjamin Maxwell (Premiere Traditional)	Trad_Open_Warp	PT199	PT	199 TU	TNG		Personnel		Federation	OFFICER	9	7	5					[Cmd]		Human; Captain; Male; Mission Specialist;			U.S.S. Phoenix	Captain Benjamin Maxwell of the U.S.S. Phoenix is a bitter enemy of the Cardassians.			OFFICER Leadership
B'Etor (Premiere Traditional)	Trad_Open_Warp	PT252	PT	252 TR	TNG		Personnel		Klingon	V.I.P.	2	8	7					[Cmd]		Klingon; Duras-related; Female;				Plotted with Lursa to seize power from Gowron with the support of the Romulans. Younger of the two Duras sisters. The pretty one.		Duras;Gowron	V.I.P. Treachery Leadership Physics Youth Greed
Beverly Crusher (Premiere Traditional)	Trad_Open_Warp	PT200	PT	200 TR	TNG		Personnel		Federation	MEDICAL	8	8	5					[Cmd]		Human; Female; U.S.S. Enterprise-related personnel;				Dr. Beverly Crusher is the chief medical officer of the U.S.S. Enterprise. Dancer and thespian. Widow of Jack Crusher. Mother of Ensign Wesley Crusher.		Jack Crusher;Wesley Crusher	MEDICAL MEDICAL Biology Exobiology
Birth of "Junior" (Premiere Traditional)	Trad_Open_Warp	PT17	PT	17 TU	TNG		Dilemma	[S]																Large infant spaceborne life-form. Attached itself to the U.S.S. Enterprise in 2368, sucking energy from the ship.			Place on ship. End of each turn, RANGE reduced by 1; if reduced to 0, ship destroyed. Nullify with 3 ENGINEER.
Disruptor Overload (Premiere Traditional)	Trad_Open_Warp	PT112	PT	112 TC	TNG		Interrupt																	A directed-energy weapon can be set on overload and left to explode like a bomb.			Plays on any ship or Away Team. Where present, destroys one Equipment card or one card used as an Equipment card (random selection).
Distortion Field (Premiere Traditional)	Trad_Open_Warp	PT70	PT	70 TU	TNG		Event																	Atmospheric phenomena that inhibits use of transporters, as on Nervala IV.			Plays crosswise face up on any planet location. Once each turn, flip card over. While face up, prevents all beaming down/up here.
Distortion of Space/Time Continuum (Premiere Traditional)	Trad_Open_Warp	PT113	PT	113 TU	TNG		Interrupt																	Time effects can be caused by the unusual warping or rifting of space.			Plays on any ship. "Unstops" ship, crew, and ship's Away Teams and restores any of this turn's RANGE already used by that ship.
Yridian Shuttle (Premiere Traditional)	Trad_Open_Warp	PT355	PT	355 TC	TNG	univ	Ship		Non-Aligned	Shuttlecraft	6	1	3						 	No staffing requirement;				Common shuttlecraft used by Yridian agents and others for covert activities.			
Zibalian Transport (Premiere Traditional)	Trad_Open_Warp	PT356	PT	356 TC	TNG	univ	Ship		Non-Aligned	Zibalian Class	6	2	4						 	Merchant vessel; No staffing requirement; Transport;				Common class of merchant vessel used by traders such as Kivas Fajo.			
Alexander Rozhenko (Premiere Traditional)	Trad_Open_Warp	PT196	PT	196 TU	TNG		Personnel		Federation	CIVILIAN	6	4	2							Klingon/Human; Male; Support Personnel;				3/4 Klingon, 1/4 Human male. Born on the 43rd day of Maktag. Son of Lieutenant Worf and K'Ehleyr.		K'Ehleyr;Lieutenant Worf	CIVILIAN Honor Youth
Alidar Jarok (Premiere Traditional)	Trad_Open_Warp	PT304	PT	304 TR	TNG		Personnel		Romulan	OFFICER	2	8	8					[Cmd]		Romulan; Admiral; Male; Support Personnel;				Conscientious admiral who questioned Romulan policy. Eventually stole a scout ship and defected to the Federation in 2366.	Office of the Proconsul		OFFICER Navigation Leadership
Alien Abduction (Premiere Traditional)	Trad_Open_Warp	PT10	PT	10 TU	TNG		Dilemma	[P]																Solanagen-based aliens, existing in a subspace domain, can access our universe and abduct humanoids for study.			Most CUNNING Away Team member (owner's choice if tie) is held by aliens until mission completed OR 3 Leadership present.
Alien Groupie (Premiere Traditional)	Trad_Open_Warp	PT107	PT	107 TR	TNG		Interrupt														Female;			Lanel, a Malcorian nurse, agreed to help Commander William T. Riker, but only if he would...			Plays on any Away Team that just completed a planet mission. Female groupie delays beam up of one male (random selection) for one full turn.
Alien Parasites (Premiere Traditional)	Trad_Open_Warp	PT11	PT	11 TU	TNG		Dilemma	[P]																Intelligent parasites enter and take control of a humanoid. Their presence can be detected by a gill like protrusion on the back of a host's neck.			Unless INTEGRITY>32, Away Team infected. They beam back and opponent immediately controls ship and crew until "stopped." Then turn resumes.
Alien Probe (Premiere Traditional)	Trad_Open_Warp	PT66	PT	66 TU	TNG		Event																	Space probes of unknown origin are frequently encountered by starships. Often such probes seek information and contact.			Plays on table. Both players continue the game with their hands (cards) exposed, face up on the table.
Alynna Nechayev (Premiere Traditional)	Trad_Open_Warp	PT197	PT	197 TR	TNG		Personnel		Federation	OFFICER	7	8	3					[Cmd]		Human; Admiral; Female; Support Personnel; Vice-Admiral;				Vice-Admiral Alynna Nechayev is an antagonistic superior of Captain Jean-Luc Picard. Responsible for liaison with the Cardassians and the Maquis.	Office of the President	Captain Jean-Luc Picard	OFFICER Diplomacy Leadership
Alyssa Ogawa (Premiere Traditional)	Trad_Open_Warp	PT198	PT	198 TU	TNG		Personnel		Federation	MEDICAL	7	6	4					[Stf]		Human; Female; Mission Specialist; Nurse;				Nurse Alyssa Ogawa is a medical assistant and friend to Dr. Beverly Crusher.		Dr. Beverly Crusher	MEDICAL Biology
Amanda Rogers (Premiere Traditional)	Trad_Open_Warp	PT108	PT	108 TU	TNG		Interrupt																	Female Q raised as a human on Earth. Was taken to the Q continuum by Q after she could not resist the benevolent use of her powers.			Nullifies any one Interrupt card just played (except {Kevin Uxbridge} or another Amanda Rogers card) OR any other card just played as an Interrupt card.
Amarie (Premiere Traditional)	Trad_Open_Warp	PT289	PT	289 TU	TNG		Personnel		Non-Aligned	CIVILIAN	5	9	2							Female; Mission Specialist;				Four-armed pianist. Information broker. Ex-wife of arms smuggler. Four times widowed. Qualor II lounge performer. Knows Aktuh and Melota. Salt sucker.	War Council		CIVILIAN Music
Anaphasic Organism (Premiere Traditional)	Trad_Open_Warp	PT12	PT	12 TC	TNG		Dilemma	[P]												female-related dilemma; MEDICAL-related dilemma;	Female;			A male non-corporeal life-form that lives inside a female host which he enchants, as in the case of Dr. Beverly Crusher's late grandmother.			If Female(s) in Away Team, the one with highest total attribute numbers resigns (is discarded), unless SECURITY and MEDICAL present. Discard dilemma.
Ancient Computer (Premiere Traditional)	Trad_Open_Warp	PT13	PT	13 TR	TNG		Dilemma	[S]												SCIENCE-related dilemma;				Vital information can be retrieved from old or damaged computer systems like this one aboard a derelict Promellian battlecruiser.			Cannot get past unless 2 Computer Skill OR 3 SCIENCE OR 3 ENGINEER present.
Anti-Time Anomaly (Premiere Traditional)	Trad_Open_Warp	PT67	PT	67 TR	TNG		Event																	Q-created phenomena. Rift caused by anti-time particles in the future. Anomaly grows backward in time endangering all life in the past.			Plays on table. Kills literally ALL personnel in play (both players' cards) at the end of your third full turn, unless anti-time anomaly destroyed first.
Archer (Premiere Traditional)	Trad_Open_Warp	PT14	PT	14 TC	TNG		Dilemma	[P]												MEDICAL-related dilemma;				Indigenous inhabitants, such as this Mintakan bowman, often attack an Away Team out of fear.			Away Team member with highest total attribute numbers is shot and dies unless SECURITY and MEDICAL present. Discard dilemma.
Armus - Skin of Evil (Premiere Traditional)	Trad_Open_Warp	PT15	PT	15 TR	TNG		Dilemma	[P]																A malevolent being was formed when the inhabitants of Vagra II rid themselves of all the evil they had inside.			Kills one Away Team member (random selection). Discard dilemma.
Asteroid Sanctuary (Premiere Traditional)	Trad_Open_Warp	PT109	PT	109 TC	TNG		Interrupt																	Hoping to avoid detection by a Romulan Warbird, the U.S.S. Enterprise entered a giant asteroid cavern in 2370.			Plays on any ship. If 2 Navigation aboard, hides ship to prevent any battle initiated against that ship for this turn.
Atmospheric Ionization (Premiere Traditional)	Trad_Open_Warp	PT68	PT	68 TC	TNG		Event																	Charged particles in the atmosphere of planets which can disrupt transporter beams.			Plays crosswise on any planet location. Maximum of three personnel per turn can be beamed up or down at this location. (Unique.)
Auto-Destruct Sequence (Premiere Traditional)	Trad_Open_Warp	PT110	PT	110 TU	TNG		Interrupt																	Computer controlled self-destruct countdown which can be set by the senior officers aboard a ship.			Plays on your ship. Ship self-destructs at end of your turn. Explosion damages all other ships at same location that have SHIELDS<8.
Morag (Premiere Traditional)	Trad_Open_Warp	PT281	PT	281 TU	TNG		Personnel		Klingon	OFFICER	7	4	8					[Cmd]		Klingon; Male; Support Personnel;				Klingon officer who stole Federation data from Relay Station 47.			OFFICER Computer Skill Greed
